id,name,nameId,firstName,lastName,title,company,phone,phone2,email,website,address,address2,city,state,zipcode,country,visibility,assignedTo,backgroundInfo,twitter,linkedin,skype,googleplus,lastUpdated,lastActivity,updatedBy,priority,leadSource,leadDate,rating,createDate,facebook,otherUrl,leadtype,closedate,expectedCloseDate,interest,leadstatus,dealvalue,leadscore,dealstatus,timezone,doNotCall,doNotEmail,trackingKey,dupeCheck,fingerprintId,reverseIp,c_position,c_broker,c_gender,c_alternateemail,c_middlename,c_fax,c_pofammount,c_proofoffunds,c_comment,c_businesscategory,c_contacttype,c_preventmarketingemail,c_newbuyer,c_username,c_password,c_Whatkindofworkdoyoudo,c_Preferedlocation,c_Cashonhandandinbank,c_cds,c_MoneyMarketFunds,c_StockAndBonds,c_AccountsNotesReceivable,c_VestedPortionofPensionorProfitSharing,c_CashValueOfLifeInsurance,c_RealEstate,c_HomeAptCondoFarmBusiness,c_OtherAssets1,c_OtherAssets2,c_Automobiles,c_Furniture,c_DueBanksLoans,c_NameofBanks,c_RealestateMortgageHome,c_AutoLoans,c_RevolvingCharges,c_OtherDebtegHealthLifeIns,c_TotalAssets,c_TotalLiabilities,c_ProfitSharing,c_AmountofDownPayment,c_Doyoucurrentlyownabusiness,c_Haveyoueverfiledforbankruptcy,c_Haveyoueverownedabusinessbefore,c_Howdidyouhearaboutus,c_Howlonghaveyoubeenlookingforabusiness,c_Education,c_Experiance,c_DoYouHaveAPartnerartner,c_Ifyeswhatisthatpersonrelationshiptoyou,c_Isyourdownpaymentavailabletoday,c_NetCashFlowDesired,c_Whatisthesourceofyourdownpayment,c_Whatisyourcurrentworkstatus,c_Whatisyourtimeframeforpurchase,c_Wouldyouliketoreceiveemailsdescribingnewlistingsorlis,c_DescribeAdditionalSourceofFunding,c_HowMuchHaveYouAllocatedForTheDownpayment,c_billingstreet,c_billingcity,c_billingstate,c_billingpostalcode,c_billingcountry,c_buyer_status,c_newsletter,c_county,c_BuyerLeadSource,c_jobTitle,c_phone3,c_email2,c_email3
20,"Michael Li","Michael Li_20",Michael,Li,,,2345542345,,limichael8@gmail.com,,"124 anywhere st.",,"East Brunswick","New Jersey",08554,,Public,jfactor,,,,,,"September 14, 2016, 2:18:09 PM","September 14, 2016, 2:18:10 PM",jfactor,,,,,"August 31, 2016, 9:22:31 AM",,,,,,,,0.00,,,,0,0,GHaFR1RzNkEIQVuvePgHUd7JK2SUmZGS,1,,,,"Joshua Factor",,,,2345542345,0,,,"[""Apparel"",""Biotechnology"",""Chemicals"",""Communications"",""Construction"",""Consulting"",""Education"",""Electronics"",""Energy"",""Engineering"",""Entertainment"",""Environmental"",""Finance"",""Government"",""Healthcare"",""Hospitality"",""Insurance"",""Machinery"",""Manufacturing"",",Buyer,0,0,limichael8@gmail.com,12345,"President of the USA",Sydney,9999999999999999.99,2222222222222200.00,0.00,33333333333.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,"Bank of Brisbane",0.00,0.00,0.00,,0.00,0.00,,"$500-1 Mil",Yes,No,Yes,"Magazine Ad/Trade Publication",,Graduate,"Sales Assoc.",No,,,,,,,,wdwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,,,,,,,Registered,1,,None,,,,
21,"Xyz Store","Xyz Store_21",XYZ,Store,,,,,info@businessbrokerscrm.com,,"42 Broadway Suite 1815",,"New York","New York",10004,,Public,marc,,,,,,"September 14, 2016, 1:58:25 PM","September 14, 2016, 1:58:25 PM",api,,,,,"September 14, 2016, 1:58:25 PM",,,,,,,,,,,,0,0,vVdkfyATUuYc0xt3w8iWmK1QEJcpnYLI,0,,,,"Joshua Factor",,,,,,,,,Buyer,0,0,info@businessbrokerscrm.com,12345,,,,,,,,,,,,,,,,,,0.00,,,,,,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Unregistered,1,,None,,,,
22,"Raj Parkh","Raj Parkh_22",Raj,Parkh,,,12334444,,raj@pariventures.com,,"123 Any St,",,LA,California,90210,,Public,jfactor,,,,,,"September 18, 2016, 3:23:52 PM","September 18, 2016, 7:25:19 PM",mbryn,,,,,"September 14, 2016, 7:02:23 PM",,,,,,,,0.00,,,,0,0,JhGwPQLWic86pYEQPfH1svE5qVlskeAT,1,,,,"Joshua Factor",,,,,0,,,,Buyer,0,0,raj@pariventures.com,12345,Banker,Moon,9999999999999999.99,2222222222222200.00,0.00,33333333333.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,"Bank Of California",1111111.00,0.00,0.00,wdewweweQ,0.00,0.00,,,Yes,No,Yes,,"12 Months","High school","Senior Executive",,,,,,Employed,,,FEGRTGDRAGTRDTGRDGEADFSxhgjgjhgjhghgjhgjhgjhgjhghhjhj,,,,,,,Registered,1,,None,,,,
23,"Dave Branson","Dave Branson_23",Dave,Branson,,,,,dave.b.branson@gmail.com,,"123 Any St,",,"St. John",Illinois,11222,,Public,jfactor,,,,,,"September 14, 2016, 9:09:35 PM","September 14, 2016, 9:09:36 PM",jfactor,,,,,"September 14, 2016, 8:33:37 PM",,,,,,,,0.00,,,,0,0,BpqB31HYYDko5GEOAM9JOQy7YnJTuVDV,1,,,,"Joshua Factor",,,,,0,,,Laundromat,Buyer,0,0,dave.b.branson@gmail.com,12345,Broker,Moon,11111223232432.00,33333333333.00,0.00,3333333333333.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,,,,,,No,,,,,,esfsdgfsagsdfagsfdagfdsagfsdagfdasgsfdagfaas,,,,,,,Registered,1,,None,,,,
26,"Fredric Gagne","Fredric Gagne_26",Fredric,Gagne,,,4102180714,,gagne.frederic2@rcgt.com,,"1422 Kinghaven Ct",,Gambrills,Alaska,43213,,Public,jfactor,,,,,,"September 19, 2016, 8:45:54 PM","September 19, 2016, 8:49:00 PM",jfactor,,,,,"September 19, 2016, 8:21:12 PM",,,,,,,,0.00,,,,0,0,jEqKNw2HGJIHNmcMlFjQzmzHkbcNmOTv,1,,,,"Joshua Factor",,,,4102180714,0,,test,"[\"Chemicals\"]",Buyer,0,0,gagne.frederic2@rcgt.com,12345,"IT Technition",Quebec,9999999999999999.99,2222222222222200.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,"Bank Of Canada",0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,,"Professional Degree",Entreperneur,,,,"$500-1 Mil",,,"20 Months",,xgdfgdgfdddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,,,,,,,Registered,1,,None,,,,
25,"Test Test","Test Test_25",test,test,,,1,,test@test.com,,,,,,,,Private,marc,,,,,,"September 15, 2016, 3:33:43 PM","September 15, 2016, 3:33:44 PM",api,,,,,"September 15, 2016, 3:33:43 PM",,,,,,,,,,,,0,0,U6CfWKsLjzYKVCTpX23q5uJxvMYgcBGX,1,,,,,,,,,,,,,Buyer,0,0,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Unregistered,1,,None,,,,
27,"Tom Flowers","Tom Flowers_27",Tom,Flowers,,,,,tom@colonialbb.com,,"123 anywhere st.",,Manhattan,"North Carolina",99090,,Public,jfactor,,,,,,"September 22, 2016, 5:35:10 PM","September 22, 2016, 5:38:20 PM",jfactor,,,,,"September 22, 2016, 5:13:04 PM",,,,,,,,0.00,,,,0,0,mgscMaxo7NtRuXfcXCiqL7J6jyudK5bX,1,,,,"Joshua Factor",,,,,0,,,,Buyer,0,0,tom@colonialbb.com,12345,Astronaut,"Los Angeles",9999999999999999.99,2222222222222200.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,"Bank Of Canada",0.00,0.00,0.00,,0.00,0.00,,$300-500K,Yes,Yes,Yes,Friend/Associate,,"Professional Degree",Management,Yes,"Family Member",Yes,,"SBA Relationship",,,,efdefdfddddddddfdddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,,,,,,,Registered,1,,"Cold Call",,,,
28,"Brian Stephens","Brian Stephens_28",Brian,Stephens,,,,,brian@buybizusa.com,,"123 anywhere st.",,Springfield,"North Carolina",99090,,Public,jfactor,,,,,,"September 26, 2016, 6:37:56 PM","October 21, 2016, 4:12:13 PM",jfactor,,,,,"September 26, 2016, 6:16:50 PM",,,,,,,,0.00,,,,0,0,hoB0k6dD7gykRpd5ZWziLdvDmyMEGz2O,1,,,,"Joshua Factor",,,,,0,,,,Buyer,0,0,brian@buybizusa.com,12345,"Insurance Sales",Tampa,9999999999999999.99,2222222222222200.00,0.00,33333333333.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,"Bank of Tampa",0.00,0.00,0.00,,0.00,0.00,,"$500-1 Mil",Yes,Yes,Yes,,,Graduate,"Sales Assoc.",Yes,"Financial Institution",,$150-300K,,,,,edefdfsdfsdfdsfdgfdgfdgfdgfhgfhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,,,,,,,Registered,1,,None,,,,
29,"Dan Sperry","Dan Sperry_29",Dan,Sperry,,,2345542345,3333,sperry@theBX.com,,"222 Any St.",,"Springfield ",Florida,11111,,Public,jfactor,,,,,,"September 27, 2016, 7:53:15 PM","September 28, 2016, 7:57:48 PM",jfactor,,,,,"September 27, 2016, 7:32:26 PM",,,,,,,,0.00,,,,0,0,WS6Aif9cRlf1XitW5jwsy3y9PwHLBorn,1,,,,"Joshua Factor",,,,2345542345,0,,,"Pharus Group",Buyer,0,0,sperry@theBX.com,12345,Broker,"North Carolina",9999999999999999.99,2222222222222200.00,0.00,33333333333.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,"Bank Of California",0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,"20 Months",College,"Sales Assoc.",Yes,"Financial Institution",,,,Self-Employed,,,fdfdsfSDffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,,,,,,Registered,1,,None,,,,
30,"Conor Mcnaughton","Conor Mcnaughton_30",Conor,McNaughton,,,,,conor@mysouthernagent.com,,"123 anywhere st.",,Manhattan,"North Carolina",99090,,Public,marc,,,,,,"October 6, 2016, 5:34:36 PM","October 6, 2016, 10:44:57 PM",dsperry,,,,,"October 6, 2016, 4:59:04 PM",,,,,,,,0.00,,,,0,0,sYxDj5XFAaQSRq0nU9oQNMImeEPznzIG,1,,,,"Joshua Factor",,,,,0,,,,Buyer,0,0,conor@mysouthernagent.com,12345,"IT Technition",,9999999999999999.99,22222222.00,9999999999999999.99,9999999999999999.99,9999999999999999.99,9999999999999999.99,,0.00,0.00,0.00,,0.00,0.00,0.00,"Bank of Atlanta",0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,,"High school","Senior Executive",Yes,"Financial Institution",Yes,,,Self-Employed,"18 Months",Yes,sergdttssrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,,,,,,,Registered,1,,None,,,,
31,"Al Mustardo","Al Mustardo_31",Al,Mustardo,,,455372601,,almustardo@pengroupllc.com,,"687 Rowley Road",,Victor,"New York",98787,,Public,jfactor,,,,,,"October 10, 2016, 6:47:01 PM","October 13, 2016, 9:36:16 PM",jfactor,,,,,"October 10, 2016, 6:23:26 PM",,,,,,,,0.00,,,,0,0,NATDBTrXhhGCZcsMRQldLdZTQnrj326H,1,,,,"Joshua Factor",,,,455372601,0,,,"Turnkey SME",Buyer,0,0,almustardo@pengroupllc.com,12345,,,22323232.00,4354543534.00,234.00,0.00,234234.00,0.00,,0.00,0.00,0.00,,0.00,3434343.00,0.00,"Bank of America",0.00,0.00,0.00,dfsfsfsdfsdfsdfsdfsd,0.00,0.00,,,Yes,No,Yes,"Magazine Ad/Trade Publication",,College,"Sales Assoc.",,,Yes,,"Friend / Relative",,,,efefefefefrerferererererererere,,,,,,,Registered,1,,None,,,,
33,"Alfred Mustardo","Alfred Mustardo_33",Alfred,Mustardo,,"Bowmac Software, Inc",5856243523,5856243523,almustardo@bowmac.com,www.bowmac.com,"79 Sibley Road",,"Honeoye falls","New York",14472,,Private,Anyone,,,,,,"October 11, 2016, 5:28:01 PM","October 11, 2016, 5:28:02 PM",dsperry,,,,,"October 11, 2016, 5:00:02 PM",,,,,,,,0.00,,,,0,0,5LTL1LJWz7zIyRBIXGsctTFjYsWFJ9IF,1,,,,,,,S,,0,,,,Buyer,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Unregistered,1,"Monroe County",None,,,,
34,"Don Krause","Don Krause_34",don,krause,,,2345542345,,don@paimarcom.com,,"124 anywhere st.",,"East Brunswick","New Jersey",08554,,Public,marc,,,,,,"October 13, 2016, 10:49:29 PM","October 13, 2016, 10:55:36 PM",jfactor,,,,,"October 13, 2016, 10:32:29 PM",,,,,,,,,,,,0,0,PQMiJziXX2zWewf4SIQOSXUq06esJcqp,1,,,,"Joshua Factor",,,,2345542345,,,,,Buyer,0,0,don@paimarcom.com,12345,,,,,,,,,,,,,,,,,,0.00,,,,,,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Registered,1,,None,,,,
35,"Paul Mcnally","Paul Mcnally_35",paul,mcnally,,,,,paul@cfbb.biz,,"123 main st",,orlando,Florida,07209,,Public,marc,,,,,,"October 20, 2016, 4:50:09 PM","October 20, 2016, 4:50:09 PM",mbryn,,,,,"October 20, 2016, 4:35:13 PM",,,,,,,,,,,,0,0,KUl1ER0erkWRkK0sQanKFojfSuMgmHDX,1,,,,"Michael Bryn",,,,,,,,,Buyer,0,0,paul@cfbb.biz,12345,,,,,,,,,,,,,,,,,,0.00,,,,,,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Registered,1,,None,,,,
38,"Gloriane Campbell","Gloriane Campbell_38",gloriane,campbell,,,,,gcampbell@clythbiz.co.nz,,"123 main st",,"christ church",Kansas,02354,,Public,marc,,,,,,"October 26, 2016, 8:45:12 AM","October 26, 2016, 8:45:13 AM",mbryn,,,,,"October 26, 2016, 8:32:15 AM",,,,,,,,,,,,0,0,gWoPWllGREFrVR91BNHsFSdundJj5Amb,1,,,,"Michael Bryn",,,,,,,,,Buyer,0,0,gcampbell@clythbiz.co.nz,12345,,,,,,,,,,,,,,,,,,0.00,,,,,,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Registered,1,,None,,,,
37,"G L","G L_37",G,L,,,,,graeme@eoptz.com,,2520,,Wellington,Alabama,22,,Public,dsperry,,,,,,"October 26, 2016, 3:14:05 AM","October 26, 2016, 3:15:03 AM",jfactor,,,,,"October 21, 2016, 9:23:25 PM",,,,,,,,0.00,,,,0,0,T3NEla9TQ5rXbXUp2Dfz1Xl1bXd15bqP,1,,,,"Michael Bryn",,,,,0,,,,Buyer,0,0,graeme@eoptz.com,demo5,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Registered,1,,None,,,,
43,"Erick Marquez","Erick Marquez_43",Erick,Marquez,,,,,ericknmarquez@gmail.com,,"123 main st",,dllas,Texas,30236,,Public,marc,,,,,,"November 7, 2016, 6:32:20 PM","November 9, 2016, 11:08:26 PM",mbryn,,,,,"November 7, 2016, 6:26:11 PM",,,,,,,,0.00,,,,0,0,4kog7yp5zXQXcQdbcactp11STL2gaZW5,1,,,,"Michael Bryn",,,,,0,,,,Buyer,0,0,ericknmarquez@gmail.com,12345,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Registered,1,,None,,,,
46,"Hendrik Oudeman","Hendrik Oudeman_46",Hendrik,Oudeman,,,,,hjoudeman@baboss.es,,"6453 main st",,madrid,Idaho,30329,,Public,marc,,,,,,"November 10, 2016, 12:53:13 PM","November 10, 2016, 12:59:55 PM",mbryn,,,,,"November 10, 2016, 12:42:55 PM",,,,,,,,0.00,,,,0,0,B195x4nCUi0ZaBgjBrr53OTaNlAwZolq,1,,,,"Michael Bryn",,,,,0,,,,Buyer,0,0,hjoudeman@baboss.es,12345,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Registered,1,,None,,,,
47,"Khaled Baranbo","Khaled Baranbo_47",Khaled,Baranbo,,,,,kal@robbinex.com,,"123 main st",,toronto,Illinois,12659,,Public,marc,,,,,,"November 14, 2016, 8:30:59 PM","November 14, 2016, 8:30:59 PM",mbryn,,,,,"November 14, 2016, 8:23:53 PM",,,,,,,,0.00,,,,0,0,LO0SWhw8Q9YJLhkHbblRBfhZRmEUgUCR,1,,,,"Michael Bryn",,,,,0,,,,Buyer,0,0,kal@robbinex.com,12345,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,Registered,1,,None,,,,
